match_id,team1_id,team2_id,winner,loser,drawn,tied,date,type_of_match
62931,1,4,1,4,,,1963-07-04,Test
62932,1,4,4,1,,,1963-07-25,Test
62933,1,4,4,1,,,1963-08-22,Test
62934,2,3,0,,1,,1963-12-06,Test
62935,2,3,2,3,,,1964-01-01,Test
62936,2,3,0,,1,,1964-01-10,Test
62937,2,3,3,2,,,1964-01-24,Test
62938,2,3,0,,1,,1964-02-07,Test
62939,6,1,0,,1,,1964-01-10,Test
62940,6,1,0,,1,,1964-01-21,Test
62941,6,1,0,,1,,1964-01-29,Test
62942,6,1,0,,1,,1964-02-08,Test
62943,6,1,0,,1,,1964-02-15,Test
62944,5,3,0,,1,,1964-02-21,Test
62945,5,3,0,,1,,1964-02-28,Test
62946,5,3,0,,1,,1964-03-13,Test
62947,1,2,0,,1,,1964-06-04,Test
62948,1,2,0,,1,,1964-06-18,Test
62949,1,2,2,1,,,1964-07-02,Test
62950,1,2,0,,1,,1964-07-23,Test
62951,1,2,0,,1,,1964-08-13,Test
62952,6,2,2,6,,,1964-10-02,Test
62953,6,2,6,2,,,1964-10-10,Test
62954,6,2,0,,1,,1964-10-17,Test
62955,7,2,0,,1,,1964-10-24,Test
62956,2,7,0,,1,,1964-12-04,Test
62957,3,1,1,3,,,1964-12-04,Test
62958,3,1,0,,1,,1964-12-23,Test
62959,3,1,0,,1,,1965-01-01,Test
62960,3,1,0,,1,,1965-01-22,Test
62961,3,1,0,,1,,1965-02-12,Test
62962,5,7,0,,1,,1965-01-22,Test
62963,5,7,0,,1,,1965-01-29,Test
62964,5,7,0,,1,,1965-02-12,Test
62965,6,5,0,,1,,1965-02-27,Test
62966,6,5,0,,1,,1965-03-05,Test
62967,6,5,0,,1,,1965-03-12,Test
62968,6,5,6,5,,,1965-03-19,Test
62969,4,2,4,2,,,1965-03-03,Test
62970,4,2,0,,1,,1965-03-26,Test
62971,4,2,4,2,,,1965-04-14,Test
62972,4,2,0,,1,,1965-05-05,Test
62973,4,2,2,4,,,1965-05-14,Test
62974,7,5,7,5,,,1965-03-27,Test
62975,7,5,0,,1,,1965-04-02,Test
62976,7,5,7,5,,,1965-04-09,Test
62977,1,5,1,5,,,1965-05-27,Test
62978,1,5,1,5,,,1965-06-17,Test
62979,1,5,1,5,,,1965-07-08,Test
62980,1,3,0,,1,,1965-07-22,Test
62981,1,3,3,1,,,1965-08-05,Test
62982,1,3,0,,1,,1965-08-26,Test
62983,2,1,0,,1,,1965-12-10,Test
62984,2,1,0,,1,,1965-12-30,Test
62985,2,1,1,2,,,1966-01-07,Test
62986,2,1,2,1,,,1966-01-28,Test
62987,2,1,0,,1,,1966-02-11,Test
62988,5,1,0,,1,,1966-02-25,Test
